Left,Gestures,index_finger_dip,index_finger_mcp,index_finger_pip,index_finger_tip,middle_finger_dip,middle_finger_mcp,middle_finger_pip,middle_finger_tip,pinky_finger_dip,pinky_finger_mcp,pinky_finger_pip,pinky_finger_tip,ring_finger_dip,ring_finger_mcp,ring_finger_pip,ring_finger_tip,thumb_cmc,thumb_ip,thumb_mcp,thumb_tip,wrist
0.0,{'Closed_Fist': 0.879155695438385},"{'x': 0.479875355958939, 'y': 0.439969450235367, 'z': -0.036266483366489}","{'x': 0.476951241493225, 'y': 0.457483112812042, 'z': 0.00184234615881}","{'x': 0.505204379558563, 'y': 0.412628650665283, 'z': -0.021836303174496}","{'x': 0.461835741996765, 'y': 0.466630548238754, 'z': -0.042232524603605}","{'x': 0.443194419145584, 'y': 0.436941176652908, 'z': -0.037030607461929}","{'x': 0.450813442468643, 'y': 0.43130287528038, 'z': 0.001869898755103}","{'x': 0.473242700099945, 'y': 0.387263238430023, 'z': -0.02712638862431}","{'x': 0.427124857902527, 'y': 0.466809511184692, 'z': -0.035414189100266}","{'x': 0.392393052577972, 'y': 0.413636654615402, 'z': -0.024187451228499}","{'x': 0.38990443944931, 'y': 0.398552894592285, 'z': -0.007464899681509}","{'x': 0.403250843286514, 'y': 0.371153235435486, 'z': -0.028463603928685}","{'x': 0.38564994931221, 'y': 0.441017538309097, 'z': -0.014481612481177}","{'x': 0.419391930103302, 'y': 0.420423150062561, 'z': -0.028257878497243}","{'x': 0.422851353883743, 'y': 0.413532286882401, 'z': -0.002141750184819}","{'x': 0.44326388835907, 'y': 0.36555689573288, 'z': -0.032387085258961}","{'x': 0.406118184328079, 'y': 0.452239125967026, 'z': -0.01619354262948}","{'x': 0.410414457321167, 'y': 0.543241620063782, 'z': -0.018309578299522}","{'x': 0.497953534126282, 'y': 0.470974862575531, 'z': -0.031240900978446}","{'x': 0.469736903905869, 'y': 0.532811343669891, 'z': -0.024745848029852}","{'x': 0.476726204156876, 'y': 0.426450222730637, 'z': -0.034532509744167}","{'x': 0.357139825820923, 'y': 0.522010385990143, 'z': -2.60098801e-07}"
0.0,{'Closed_Fist': 0.924487769603729},"{'x': 0.468965709209442, 'y': 0.447569131851196, 'z': -0.032823216170073}","{'x': 0.473279774188995, 'y': 0.45909783244133, 'z': 0.002709726570174}","{'x': 0.497868955135345, 'y': 0.414836317300797, 'z': -0.02052147500217}","{'x': 0.453853040933609, 'y': 0.472330391407013, 'z': -0.037643603980541}","{'x': 0.434346735477448, 'y': 0.444174259901047, 'z': -0.033352620899677}","{'x': 0.447001278400421, 'y': 0.43141970038414, 'z': 0.002408452099189}","{'x': 0.466046124696732, 'y': 0.388728141784668, 'z': -0.026331018656492}","{'x': 0.422391176223755, 'y': 0.466934591531754, 'z': -0.029869681224227}","{'x': 0.385194778442383, 'y': 0.413463413715363, 'z': -0.022806284949183}","{'x': 0.38920521736145, 'y': 0.39227032661438, 'z': -0.007286308333278}","{'x': 0.400225251913071, 'y': 0.366998851299286, 'z': -0.028002828359604}","{'x': 0.379205942153931, 'y': 0.436954587697983, 'z': -0.012865976430476}","{'x': 0.410863190889359, 'y': 0.426751524209976, 'z': -0.026219565421343}","{'x': 0.420005857944489, 'y': 0.411555767059326, 'z': -0.001941738417372}","{'x': 0.437694609165192, 'y': 0.366345971822739, 'z': -0.032711762934923}","{'x': 0.399561494588852, 'y': 0.452320694923401, 'z': -0.012872941792011}","{'x': 0.399309307336807, 'y': 0.546559572219849, 'z': -0.015882201492786}","{'x': 0.491089075803757, 'y': 0.468875735998154, 'z': -0.019643776118755}","{'x': 0.463022887706757, 'y': 0.533898234367371, 'z': -0.017999827861786}","{'x': 0.466127723455429, 'y': 0.426915764808655, 'z': -0.016773832961917}","{'x': 0.353019386529922, 'y': 0.509078979492188, 'z': -3.39492999e-07}"
1.0,{'Closed_Fist': 0.718773424625397},"{'x': 0.508570313453674, 'y': 0.444224298000336, 'z': 0.015531281940639}","{'x': 0.512145280838013, 'y': 0.469267815351486, 'z': 0.048055272549391}","{'x': 0.489737033843994, 'y': 0.422195702791214, 'z': 0.030604073777795}","{'x': 0.519835770130157, 'y': 0.464682757854462, 'z': 0.010752976872027}","{'x': 0.542940497398376, 'y': 0.42886084318161, 'z': 0.014227456413209}","{'x': 0.540267646312714, 'y': 0.443689703941345, 'z': 0.050089817494154}","{'x': 0.521649301052094, 'y': 0.391715109348297, 'z': 0.029801720753312}","{'x': 0.545973360538483, 'y': 0.450171172618866, 'z': 0.012601257301867}","{'x': 0.598592102527618, 'y': 0.413100957870483, 'z': 0.030030965805054}","{'x': 0.598371863365173, 'y': 0.408895313739777, 'z': 0.037424083799124}","{'x': 0.585489213466644, 'y': 0.377920746803284, 'z': 0.026749910786748}","{'x': 0.603290021419525, 'y': 0.433168649673462, 'z': 0.0383410602808}","{'x': 0.574730932712555, 'y': 0.426081866025925, 'z': 0.014098506420851}","{'x': 0.568788647651672, 'y': 0.423379421234131, 'z': 0.044444680213928}","{'x': 0.557396292686462, 'y': 0.381158709526062, 'z': 0.020703598856926}","{'x': 0.575706422328949, 'y': 0.446894288063049, 'z': 0.019600363448262}","{'x': 0.578447461128235, 'y': 0.51693731546402, 'z': -0.014728927984834}","{'x': 0.524544835090637, 'y': 0.418087273836136, 'z': -0.0090551385656}","{'x': 0.536632239818573, 'y': 0.481619209051132, 'z': -0.010788795538247}","{'x': 0.523090779781342, 'y': 0.37068122625351, 'z': -0.002790329279378}","{'x': 0.64706414937973, 'y': 0.51377534866333, 'z': -9.4445625e-08}"
1.0,{'Closed_Fist': 0.740097761154175},"{'x': 0.519522786140442, 'y': 0.355717122554779, 'z': 0.014031111262739}","{'x': 0.519449234008789, 'y': 0.401983767747879, 'z': 0.042569745332003}","{'x': 0.502650141716003, 'y': 0.33563244342804, 'z': 0.02651003934443}","{'x': 0.529397428035736, 'y': 0.381346642971039, 'z': 0.010865273885429}","{'x': 0.557387173175812, 'y': 0.352183520793915, 'z': 0.013316491618752}","{'x': 0.551542282104492, 'y': 0.382259696722031, 'z': 0.047671962529421}","{'x': 0.540342748165131, 'y': 0.314964413642883, 'z': 0.028308110311627}","{'x': 0.558038413524628, 'y': 0.378163158893585, 'z': 0.011272529140115}","{'x': 0.614067077636719, 'y': 0.357011646032333, 'z': 0.02334420196712}","{'x': 0.611710846424103, 'y': 0.358362525701523, 'z': 0.041248083114624}","{'x': 0.604716837406158, 'y': 0.31964036822319, 'z': 0.026402462273836}","{'x': 0.615546464920044, 'y': 0.385330259799957, 'z': 0.026632983237505}","{'x': 0.591819643974304, 'y': 0.358861654996872, 'z': 0.007906907238066}","{'x': 0.583030939102173, 'y': 0.366746991872787, 'z': 0.045028645545244}","{'x': 0.579012930393219, 'y': 0.313114762306213, 'z': 0.019486797973514}","{'x': 0.589394807815552, 'y': 0.387601137161255, 'z': 0.009943185374141}","{'x': 0.586748123168945, 'y': 0.449619829654694, 'z': -0.018457133322954}","{'x': 0.544291496276855, 'y': 0.337750673294067, 'z': -0.009028781205416}","{'x': 0.550698578357697, 'y': 0.400217175483704, 'z': -0.013347228057683}","{'x': 0.547970056533813, 'y': 0.290950030088425, 'z': 0.000322971027344}","{'x': 0.646734833717346, 'y': 0.468241333961487, 'z': -1.96510314e-07}"
1.0,{'None': 0.574910640716553},"{'x': 0.507668554782867, 'y': 0.2810218334198, 'z': -0.016840571537614}","{'x': 0.562078833580017, 'y': 0.37067124247551, 'z': -0.000665378523991}","{'x': 0.525016129016876, 'y': 0.318359553813934, 'z': -0.008207528851926}","{'x': 0.496638715267181, 'y': 0.246675804257393, 'z': -0.023910665884614}","{'x': 0.547455191612244, 'y': 0.242137730121613, 'z': -0.012446312233806}","{'x': 0.587514102458954, 'y': 0.348517775535583, 'z': -2.531209702e-06}","{'x': 0.559762299060822, 'y': 0.28578981757164, 'z': -0.004130358807743}","{'x': 0.542570650577545, 'y': 0.205673947930336, 'z': -0.019082708284259}","{'x': 0.656120359897614, 'y': 0.265595614910126, 'z': -0.029344163835049}","{'x': 0.650905728340149, 'y': 0.349661380052567, 'z': -0.007798379287124}","{'x': 0.654625236988068, 'y': 0.299606770277023, 'z': -0.021013893187046}","{'x': 0.657717883586884, 'y': 0.232582256197929, 'z': -0.034564904868603}","{'x': 0.589059591293335, 'y': 0.237833380699158, 'z': -0.023550614714622}","{'x': 0.616880118846893, 'y': 0.344099938869476, 'z': -0.002958146855235}","{'x': 0.599780142307281, 'y': 0.278881847858429, 'z': -0.012536325491965}","{'x': 0.583372175693512, 'y': 0.202688857913017, 'z': -0.031766325235367}","{'x': 0.621255815029144, 'y': 0.490492194890976, 'z': -0.017855262383819}","{'x': 0.558874070644379, 'y': 0.385447025299072, 'z': -0.023370590060949}","{'x': 0.575902342796326, 'y': 0.447394251823425, 'z': -0.0214066747576}","{'x': 0.553049445152283, 'y': 0.336390376091003, 'z': -0.024156156927347}","{'x': 0.675307989120483, 'y': 0.494629323482513, 'z': 3.86074447e-07}"
0.0,{'Closed_Fist': 0.785663425922394},"{'x': 0.287846475839615, 'y': 0.658146619796753, 'z': -0.010030665434897}","{'x': 0.287871360778809, 'y': 0.667608737945557, 'z': 0.010000826790929}","{'x': 0.303413063287735, 'y': 0.635802328586578, 'z': -0.001719436026178}","{'x': 0.275424093008041, 'y': 0.680203318595886, 'z': -0.013516780920327}","{'x': 0.267597109079361, 'y': 0.646757841110229, 'z': -0.01167674921453}","{'x': 0.271740794181824, 'y': 0.648106515407562, 'z': 0.010562783107162}","{'x': 0.286574214696884, 'y': 0.615327060222626, 'z': -0.00468213763088}","{'x': 0.25510972738266, 'y': 0.668202698230743, 'z': -0.011577287688851}","{'x': 0.230874583125114, 'y': 0.626940786838531, 'z': -0.007514296565205}","{'x': 0.230748534202576, 'y': 0.621348083019257, 'z': 0.00556485587731}","{'x': 0.241485103964806, 'y': 0.601128697395325, 'z': -0.008439285680652}","{'x': 0.222535789012909, 'y': 0.647037029266357, 'z': -0.002561126602814}","{'x': 0.248957797884941, 'y': 0.636642754077911, 'z': -0.010632405988872}","{'x': 0.253467530012131, 'y': 0.633871853351593, 'z': 0.008300039917231}","{'x': 0.26576241850853, 'y': 0.603714764118195, 'z': -0.010343967936933}","{'x': 0.238189473748207, 'y': 0.657810091972351, 'z': -0.004873600788414}","{'x': 0.238179475069046, 'y': 0.718486726284027, 'z': -0.009349356405437}","{'x': 0.31342351436615, 'y': 0.684024751186371, 'z': -0.007146290037781}","{'x': 0.282982289791107, 'y': 0.718268096446991, 'z': -0.00804144050926}","{'x': 0.306273519992828, 'y': 0.653336226940155, 'z': -0.004761706572026}","{'x': 0.198193326592445, 'y': 0.688064754009247, 'z': -1.68915335e-07}"
0.0,{'Closed_Fist': 0.771050274372101},"{'x': 0.328287065029144, 'y': 0.599481046199799, 'z': -0.018641768023372}","{'x': 0.330468475818634, 'y': 0.60780543088913, 'z': 0.002164241624996}","{'x': 0.345214158296585, 'y': 0.580249786376953, 'z': -0.010405717417598}","{'x': 0.315632790327072, 'y': 0.619681358337402, 'z': -0.021991731598973}","{'x': 0.310133785009384, 'y': 0.586622714996338, 'z': -0.017044894397259}","{'x': 0.315209954977036, 'y': 0.586461782455444, 'z': 0.001890863641165}","{'x': 0.330797910690308, 'y': 0.559344589710236, 'z': -0.012019948102534}","{'x': 0.297218561172485, 'y': 0.605925321578979, 'z': -0.016489459201694}","{'x': 0.276340395212173, 'y': 0.561354637145996, 'z': -0.013399854302406}","{'x': 0.275784820318222, 'y': 0.558623552322388, 'z': -0.003178560407832}","{'x': 0.287708848714828, 'y': 0.538165211677551, 'z': -0.01582988165319}","{'x': 0.267503708600998, 'y': 0.580138146877289, 'z': -0.007906260900199}","{'x': 0.294696867465973, 'y': 0.572042942047119, 'z': -0.014944657683372}","{'x': 0.297438532114029, 'y': 0.571023344993591, 'z': -0.000471359875519}","{'x': 0.314016938209534, 'y': 0.542600035667419, 'z': -0.017053572461009}","{'x': 0.282548844814301, 'y': 0.59214049577713, 'z': -0.008656966499984}","{'x': 0.282897651195526, 'y': 0.651132166385651, 'z': -0.008426981046796}","{'x': 0.350539743900299, 'y': 0.630951106548309, 'z': -0.010553253814578}","{'x': 0.323201656341553, 'y': 0.656991899013519, 'z': -0.009425027295947}","{'x': 0.347666680812836, 'y': 0.600983321666718, 'z': -0.010778899304569}","{'x': 0.249264091253281, 'y': 0.623954713344574, 'z': -1.61294736e-07}"
0.0,{'Open_Palm': 0.851359963417053},"{'x': 0.080168895423412, 'y': 0.097234278917313, 'z': -0.032241273671389}","{'x': 0.072823144495487, 'y': 0.196867763996124, 'z': -0.01251376979053}","{'x': 0.080461025238037, 'y': 0.135694935917854, 'z': -0.022694101557136}","{'x': 0.078471317887306, 'y': 0.06467416882515, 'z': -0.039611522108316}","{'x': 0.021222230046988, 'y': 0.088849812746048, 'z': -0.028997227549553}","{'x': 0.039697580039501, 'y': 0.194183200597763, 'z': -0.009241265244782}","{'x': 0.030601218342781, 'y': 0.130421280860901, 'z': -0.018382932990789}","{'x': 0.012369409203529, 'y': 0.055295959115028, 'z': -0.037021975964308}","{'x': -0.028896257281303, 'y': 0.152433171868324, 'z': -0.025852778926492}","{'x': -0.011611349880695, 'y': 0.223509952425957, 'z': -0.010735234245658}","{'x': -0.022187873721123, 'y': 0.179807484149933, 'z': -0.020645229145885}","{'x': -0.033406741917133, 'y': 0.126726567745209, 'z': -0.02858460880816}","{'x': -0.006066128611565, 'y': 0.110235132277012, 'z': -0.027204463258386}","{'x': 0.011715494096279, 'y': 0.203495115041733, 'z': -0.008842873387039}","{'x': 0.001469977200031, 'y': 0.145305052399635, 'z': -0.018937835469842}","{'x': -0.012488648295403, 'y': 0.0810706615448, 'z': -0.032696578651667}","{'x': 0.0733542740345, 'y': 0.316413134336472, 'z': -0.022423762828112}","{'x': 0.12792694568634, 'y': 0.214030519127846, 'z': -0.03417631983757}","{'x': 0.107976198196411, 'y': 0.264593094587326, 'z': -0.029395619407296}","{'x': 0.146817803382874, 'y': 0.178458884358406, 'z': -0.03881473839283}","{'x': 0.029300898313522, 'y': 0.346076548099518, 'z': 3.16758047e-07}"
0.0,{'None': 0.865996897220612},"{'x': -0.010909301228821, 'y': 0.136510044336319, 'z': 0.119676202535629}","{'x': -0.023353233933449, 'y': 0.255321323871613, 'z': 0.090513728559017}","{'x': -0.0169612839818, 'y': 0.18224062025547, 'z': 0.109290510416031}","{'x': -0.003809049027041, 'y': 0.101033255457878, 'z': 0.124490767717361}","{'x': 0.000484088435769, 'y': 0.122701600193977, 'z': 0.057190090417862}","{'x': -0.018393022939563, 'y': 0.259185016155243, 'z': 0.046873182058334}","{'x': -0.013428203761578, 'y': 0.169780477881432, 'z': 0.054920371621847}","{'x': 0.013845805078745, 'y': 0.083892092108727, 'z': 0.058084230870008}","{'x': 0.056978300213814, 'y': 0.190529450774193, 'z': -0.008717793039978}","{'x': 0.008994035422802, 'y': 0.274886012077332, 'z': -0.023711709305644}","{'x': 0.031826689839363, 'y': 0.216271758079529, 'z': -0.015673112124205}","{'x': 0.07935806363821, 'y': 0.174334213137627, 'z': -0.005167054478079}","{'x': 0.033144328743219, 'y': 0.150264278054237, 'z': 0.019980425015092}","{'x': -0.008637310937047, 'y': 0.264869958162308, 'z': 0.008219141513109}","{'x': 0.008773921057582, 'y': 0.188438475131989, 'z': 0.015079888515174}","{'x': 0.054434601217508, 'y': 0.123304650187492, 'z': 0.021837469190359}","{'x': 0.012490728870034, 'y': 0.367652267217636, 'z': 0.085836730897427}","{'x': 0.013588331639767, 'y': 0.270095229148865, 'z': 0.144161686301231}","{'x': 0.01085648778826, 'y': 0.310332238674164, 'z': 0.123527862131596}","{'x': 0.015640145167708, 'y': 0.229660585522652, 'z': 0.163144811987877}","{'x': -0.001705074450001, 'y': 0.441409140825272, 'z': 3.8568789e-08}"
0.0,{'None': 0.92442786693573},"{'x': 0.274236738681793, 'y': 0.357105284929276, 'z': -0.034572258591652}","{'x': 0.207544028759003, 'y': 0.371619701385498, 'z': 0.005223175510764}","{'x': 0.240033105015755, 'y': 0.346563369035721, 'z': -0.015474897809327}","{'x': 0.301196396350861, 'y': 0.373737215995789, 'z': -0.047314424067736}","{'x': 0.269229978322983, 'y': 0.362037628889084, 'z': -0.044073272496462}","{'x': 0.184724405407906, 'y': 0.365194261074066, 'z': -0.004238120280206}","{'x': 0.230270877480507, 'y': 0.341207176446915, 'z': -0.027311446145177}","{'x': 0.298195540904999, 'y': 0.386418640613556, 'z': -0.053129427134991}","{'x': 0.2279282361269, 'y': 0.40244996547699, 'z': -0.060533225536346}","{'x': 0.145019575953484, 'y': 0.397755563259125, 'z': -0.029615204781294}","{'x': 0.193633124232292, 'y': 0.389767855405807, 'z': -0.051508847624063}","{'x': 0.25698709487915, 'y': 0.413941025733948, 'z': -0.063361294567585}","{'x': 0.252353370189667, 'y': 0.375601500272751, 'z': -0.051381748169661}","{'x': 0.163054004311562, 'y': 0.374355673789978, 'z': -0.016428178176284}","{'x': 0.212652415037155, 'y': 0.353238523006439, 'z': -0.040736794471741}","{'x': 0.283271700143814, 'y': 0.399705320596695, 'z': -0.054749999195337}","{'x': 0.197154700756073, 'y': 0.530954241752625, 'z': -0.004122932441533}","{'x': 0.264079570770264, 'y': 0.424653202295303, 'z': -0.017349680885673}","{'x': 0.233250334858894, 'y': 0.467447698116302, 'z': -0.008897271938622}","{'x': 0.295294493436813, 'y': 0.400681376457214, 'z': -0.025484329089522}","{'x': 0.144928067922592, 'y': 0.562920928001404, 'z': 2.85584235e-07}"
1.0,{'None': 0.88613361120224},"{'x': 0.487059533596039, 'y': 0.441157042980194, 'z': 0.013804054819047}","{'x': 0.568004906177521, 'y': 0.419704139232635, 'z': 0.038050714880228}","{'x': 0.521498203277588, 'y': 0.422635734081268, 'z': 0.029010621830821}","{'x': 0.458408623933792, 'y': 0.462129384279251, 'z': 0.003168987110257}","{'x': 0.483443915843964, 'y': 0.438307881355286, 'z': 0.001060457900167}","{'x': 0.578959584236145, 'y': 0.410082638263702, 'z': 0.022165760397911}","{'x': 0.519191145896912, 'y': 0.411862850189209, 'z': 0.015381878241897}","{'x': 0.454087108373642, 'y': 0.462167650461197, 'z': -0.008887646719813}","{'x': 0.496745079755783, 'y': 0.46530556678772, 'z': -0.026037909090519}","{'x': 0.591303825378418, 'y': 0.438000679016113, 'z': -0.014871182851493}","{'x': 0.529591917991638, 'y': 0.451578259468079, 'z': -0.022638345137239}","{'x': 0.470604360103607, 'y': 0.476810455322266, 'z': -0.027562374249101}","{'x': 0.484745442867279, 'y': 0.439582765102386, 'z': -0.016144113615155}","{'x': 0.588603615760803, 'y': 0.414614140987396, 'z': 0.003605365986004}","{'x': 0.52408492565155, 'y': 0.415929794311523, 'z': -0.006677168887109}","{'x': 0.452578872442245, 'y': 0.460524559020996, 'z': -0.021357791498303}","{'x': 0.575411200523376, 'y': 0.564066171646118, 'z': 0.012836017645895}","{'x': 0.499995619058609, 'y': 0.494370251893997, 'z': 0.018750952556729}","{'x': 0.532526671886444, 'y': 0.518091857433319, 'z': 0.019482696428895}","{'x': 0.47286257147789, 'y': 0.481094568967819, 'z': 0.017485644668341}","{'x': 0.644990801811218, 'y': 0.579151213169098, 'z': -4.65463273e-07}"
1.0,{'None': 0.822184443473816},"{'x': 0.478541493415833, 'y': 0.396280318498611, 'z': -0.005050183739513}","{'x': 0.548501014709473, 'y': 0.425884008407593, 'z': 0.026232374832034}","{'x': 0.511184811592102, 'y': 0.398345053195953, 'z': 0.01228890568018}","{'x': 0.450713455677032, 'y': 0.403983294963837, 'z': -0.01726764254272}","{'x': 0.486750245094299, 'y': 0.377155542373657, 'z': -0.021614635363221}","{'x': 0.564708173274994, 'y': 0.406544089317322, 'z': 0.013078584335744}","{'x': 0.520812511444092, 'y': 0.370432257652283, 'z': -0.003269646083936}","{'x': 0.460552543401718, 'y': 0.399513244628906, 'z': -0.032519724220037}","{'x': 0.531638860702515, 'y': 0.389380186796188, 'z': -0.043439853936434}","{'x': 0.604174971580505, 'y': 0.402817577123642, 'z': -0.020441398024559}","{'x': 0.562732696533203, 'y': 0.384296238422394, 'z': -0.035407688468695}","{'x': 0.507393658161163, 'y': 0.401396095752716, 'z': -0.046959564089775}","{'x': 0.507257401943207, 'y': 0.365824162960052, 'z': -0.032339222729206}","{'x': 0.584107875823975, 'y': 0.398727566003799, 'z': -0.00343134207651}","{'x': 0.542010605335236, 'y': 0.353672325611115, 'z': -0.019975110888481}","{'x': 0.481552302837372, 'y': 0.391008734703064, 'z': -0.038115162402391}","{'x': 0.577727556228638, 'y': 0.553784906864166, 'z': 0.002350234426558}","{'x': 0.497137784957886, 'y': 0.495855242013931, 'z': -0.003880707081407}","{'x': 0.531216502189636, 'y': 0.518353641033173, 'z': 0.002043763874099}","{'x': 0.464542955160141, 'y': 0.476510405540466, 'z': -0.010243261232972}","{'x': 0.634334444999695, 'y': 0.560102045536041, 'z': -2.6807362e-07}"
1.0,{'None': 0.845876812934875},"{'x': 0.441597700119019, 'y': 0.370703637599945, 'z': -0.009561690501869}","{'x': 0.522756278514862, 'y': 0.42699009180069, 'z': 0.010440435260534}","{'x': 0.47264239192009, 'y': 0.392120599746704, 'z': 0.000832432357129}","{'x': 0.416634857654572, 'y': 0.352238386869431, 'z': -0.019332379102707}","{'x': 0.472191721200943, 'y': 0.307616323232651, 'z': -0.029354818165302}","{'x': 0.539734840393066, 'y': 0.41117724776268, 'z': -0.004811719991267}","{'x': 0.498979091644287, 'y': 0.345483273267746, 'z': -0.016805395483971}","{'x': 0.449987947940826, 'y': 0.274600386619568, 'z': -0.039177756756544}","{'x': 0.487968355417252, 'y': 0.411367833614349, 'z': -0.074593536555767}","{'x': 0.569079875946045, 'y': 0.440939843654633, 'z': -0.041875742375851}","{'x': 0.52072536945343, 'y': 0.422834128141403, 'z': -0.062927603721619}","{'x': 0.459202527999878, 'y': 0.395371496677399, 'z': -0.082991488277912}","{'x': 0.478285372257233, 'y': 0.314523577690125, 'z': -0.059013638645411}","{'x': 0.557057321071625, 'y': 0.417152941226959, 'z': -0.023388855159283}","{'x': 0.509826898574829, 'y': 0.354692995548248, 'z': -0.042825736105442}","{'x': 0.453306287527084, 'y': 0.276338070631027, 'z': -0.069957569241524}","{'x': 0.572549700737, 'y': 0.56779283285141, 'z': -0.000992150045931}","{'x': 0.477009981870651, 'y': 0.546846389770508, 'z': -0.01336641702801}","{'x': 0.517505168914795, 'y': 0.547529458999634, 'z': -0.005281967110932}","{'x': 0.442482680082321, 'y': 0.552667558193207, 'z': -0.022001864388585}","{'x': 0.635080814361572, 'y': 0.565574944019318, 'z': 1.71049962e-07}"
1.0,{'None': 0.881067931652069},"{'x': 0.423641622066498, 'y': 0.449350267648697, 'z': -0.011357229202986}","{'x': 0.510947644710541, 'y': 0.40242937207222, 'z': 0.022163277491927}","{'x': 0.457447826862335, 'y': 0.422465264797211, 'z': 0.007299522403628}","{'x': 0.396346420049667, 'y': 0.473820507526398, 'z': -0.024309981614351}","{'x': 0.419219493865967, 'y': 0.449913859367371, 'z': -0.022786982357502}","{'x': 0.521616399288177, 'y': 0.393425524234772, 'z': 0.007702028844506}","{'x': 0.453142195940018, 'y': 0.414515018463135, 'z': -0.00446021463722}","{'x': 0.391548335552216, 'y': 0.47759410738945, 'z': -0.036377944052219}","{'x': 0.444389820098877, 'y': 0.482190728187561, 'z': -0.040236212313175}","{'x': 0.531932950019836, 'y': 0.423464208841324, 'z': -0.024919182062149}","{'x': 0.473019957542419, 'y': 0.45967835187912, 'z': -0.034347277134657}","{'x': 0.421348333358765, 'y': 0.498977452516556, 'z': -0.044123489409685}","{'x': 0.427229851484299, 'y': 0.45716068148613, 'z': -0.034405298531055}","{'x': 0.530170917510986, 'y': 0.398776412010193, 'z': -0.008652091026306}","{'x': 0.463225603103638, 'y': 0.422245979309082, 'z': -0.021931201219559}","{'x': 0.397684574127197, 'y': 0.48550072312355, 'z': -0.042527962476015}","{'x': 0.526536822319031, 'y': 0.55081307888031, 'z': 0.007440943270922}","{'x': 0.441709011793137, 'y': 0.50905567407608, 'z': -0.000120004253404}","{'x': 0.480147182941437, 'y': 0.519029378890991, 'z': 0.006530769169331}","{'x': 0.410231202840805, 'y': 0.502977013587952, 'z': -0.007328531704843}","{'x': 0.5961874127388, 'y': 0.559534430503845, 'z': -5.07719847e-07}"
1.0,{'None': 0.813767313957214},"{'x': 0.163141906261444, 'y': 0.384405225515366, 'z': -0.010935097001493}","{'x': 0.265813916921616, 'y': 0.421371579170227, 'z': -0.007249862421304}","{'x': 0.203310698270798, 'y': 0.393061906099319, 'z': -0.011203113012016}","{'x': 0.128423467278481, 'y': 0.379114747047424, 'z': -0.011203113012016}","{'x': 0.15781506896019, 'y': 0.544765055179596, 'z': -0.026819575577974}","{'x': 0.263934969902039, 'y': 0.451953530311584, 'z': -0.01499108877033}","{'x': 0.197766706347466, 'y': 0.508517146110535, 'z': -0.020762389525771}","{'x': 0.125554233789444, 'y': 0.570420742034912, 'z': -0.033180512487888}","{'x': 0.303591370582581, 'y': 0.595224142074585, 'z': -0.020351430401206}","{'x': 0.289585590362549, 'y': 0.519353628158569, 'z': -0.019082816317677}","{'x': 0.29099515080452, 'y': 0.575417041778564, 'z': -0.019565246999264}","{'x': 0.314866423606873, 'y': 0.608640611171722, 'z': -0.020673051476479}","{'x': 0.251143574714661, 'y': 0.605860531330109, 'z': -0.031143585219979}","{'x': 0.274855852127075, 'y': 0.485999703407288, 'z': -0.018296632915735}","{'x': 0.251719653606415, 'y': 0.56408029794693, 'z': -0.024639703333378}","{'x': 0.255894184112549, 'y': 0.63644140958786, 'z': -0.035431854426861}","{'x': 0.363209843635559, 'y': 0.440986037254333, 'z': 0.017849937081337}","{'x': 0.293543249368668, 'y': 0.377603888511658, 'z': 0.025586696341634}","{'x': 0.329295098781586, 'y': 0.402362138032913, 'z': 0.023228146135807}","{'x': 0.271440267562866, 'y': 0.343827784061432, 'z': 0.026033392176032}","{'x': 0.394635111093521, 'y': 0.499082863330841, 'z': 1.89485547e-07}"
1.0,{'None': 0.8393394947052},"{'x': 0.198540717363358, 'y': 0.454430133104324, 'z': 0.030579680576921}","{'x': 0.265326678752899, 'y': 0.478408962488174, 'z': 0.031095523387194}","{'x': 0.220465376973152, 'y': 0.471955507993698, 'z': 0.036141086369753}","{'x': 0.186536654829979, 'y': 0.434759080410004, 'z': 0.025566352531314}","{'x': 0.225401282310486, 'y': 0.396278232336044, 'z': 0.046715822070837}","{'x': 0.284343063831329, 'y': 0.439902275800705, 'z': 0.041331734508276}","{'x': 0.245637819170952, 'y': 0.416745096445084, 'z': 0.052486788481474}","{'x': 0.21781250834465, 'y': 0.382002979516983, 'z': 0.04158965870738}","{'x': 0.31554102897644, 'y': 0.346349835395813, 'z': 0.047199420630932}","{'x': 0.339398384094238, 'y': 0.387989073991776, 'z': 0.043556299060583}","{'x': 0.324702471494675, 'y': 0.356430441141129, 'z': 0.047554064542055}","{'x': 0.309754610061646, 'y': 0.343771874904633, 'z': 0.047134947031736}","{'x': 0.264515399932861, 'y': 0.365668505430222, 'z': 0.046844780445099}","{'x': 0.308621257543564, 'y': 0.412907540798187, 'z': 0.044555742293596}","{'x': 0.280637562274933, 'y': 0.382838129997253, 'z': 0.051068231463432}","{'x': 0.257919400930405, 'y': 0.358482003211975, 'z': 0.043104939162731}","{'x': 0.352961778640747, 'y': 0.525570273399353, 'z': -0.027532996609807}","{'x': 0.270173013210297, 'y': 0.489098131656647, 'z': -0.034013245254755}","{'x': 0.305161207914352, 'y': 0.522859632968903, 'z': -0.031724203377962}","{'x': 0.239269033074379, 'y': 0.452221661806107, 'z': -0.032965444028378}","{'x': 0.412478446960449, 'y': 0.508379101753235, 'z': 5.07686252e-07}"
